feature,mean_importance
run5k,-0.00038068820913368125
age,-0.00030173324118674207
weight,-0.00022801990232401145
athlete_id,0.0
name_michael,0.0
name_melissa,0.0
name_megan,0.0
name_matthew,0.0
name_matt,0.0
name_martinez,0.0
name_martin,0.0
name_mark,0.0
name_lisa,0.0
name_lee,0.0
name_lauren,0.0
name_laura,0.0
name_kim,0.0
name_michelle,0.0
name_kevin,0.0
name_kelly,0.0
name_katie,0.0
name_justin,0.0
name_julie,0.0
name_joshua,0.0
name_josh,0.0
name_joseph,0.0
name_jose,0.0
name_jordan,0.0
name_jones,0.0
name_kyle,0.0
name_mike,0.0
name_nathan,0.0
name_jonathan,0.0
name_william,0.0
name_van,0.0
name_tyler,0.0
name_tom,0.0
name_tim,0.0
name_taylor,0.0
name_steven,0.0
name_steve,0.0
name_stephen,0.0
name_stephanie,0.0
name_smith,0.0
name_sean,0.0
name_miller,0.0
name_scott,0.0
name_sara,0.0
name_ryan,0.0
name_rodriguez,0.0
name_robert,0.0
name_rob,0.0
name_richard,0.0
name_rachel,0.0
name_peter,0.0
name_paul,0.0
name_patrick,0.0
name_nicole,0.0
name_nick,0.0
name_sarah,0.0
name_johnson,0.0
name_joe,0.0
name_williams,0.0
name_john,0.0
name_anthony,0.0
name_andrew,0.0
name_andrea,0.0
name_anderson,0.0
name_amy,0.0
name_amanda,0.0
name_alex,0.0
name_adam,0.0
name_aaron,0.0
schedule,0.0
experience,0.0
background,0.0
eat,0.0
run400,0.0
fgonebad,0.0
filthy50,0.0
grace,0.0
height,0.0
gender,0.0
affiliate,0.0
team,0.0
region,0.0
name_ben,0.0
name_brad,0.0
name_ashley,0.0
name_brian,0.0
name_jessica,0.0
name_jeremy,0.0
name_jennifer,0.0
name_jeff,0.0
name_jason,0.0
name_jamie,0.0
name_james,0.0
name_heather,0.0
name_greg,0.0
name_garcia,0.0
name_brandon,0.0
name_erin,0.0
name_eric,0.0
name_wilson,0.0
name_davis,0.0
name_david,0.0
name_brown,0.0
name_danielle,0.0
name_dan,0.0
name_craig,0.0
name_emily,0.0
name_bryan,0.0
name_christopher,0.0
name_chris,0.0
name_carlos,0.0
name_thomas,3.53065954193741e-08
name_daniel,6.351727776911579e-08
howlong,9.870691860328724e-07
train,1.3893483420507682e-06
pullups,2.1930537501673893e-06
fran,6.145697416112079e-06
helen,1.38602940064376e-05
